,place_id,location_name,latitude,longitude,diesel,premium,regular
0,10000,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-99.17684,23.75344,21.99,23.5,19.98
1,10001,SERVICIOS PALO VERDES SA DE CV,-109.9156,27.46514,22.1,22.99,19.38
2,10002,ELIO LOPEZ DOMINGUEZ,-97.64679,19.13942,16.79,17.6,15.87
3,10003,SERVICIO LINDA VISTA SA DE CV,-106.4816,31.69662,,,15.2
4,10004,ALEJANDRO MANUEL MENDEZ HURTADO,-102.0301,19.40397,21.83,21.99,19.89
5,10005,"CORPORACIÓN GASOLINERA MILLENIUM, S.A. DE C.V.",-98.09792,20.1375,21.99,22.27,20.63
6,10006,"OCTANT, S.A. DE C.V.",-99.09225,19.4416,,22.41,20.09
7,10007,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.0964,25.64622,,23.79,21.93
8,10008,E.S.G.E.S. S.A DE C.V,-92.92425,18.00568,,21.69,19.99
9,10009,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",-99.92682,20.29356,21.49,22.59,20.39
10,10010,E.S.G.E.S. S.A DE C.V,-90.74789,18.60761,22.99,22.99,21.89
11,10011,JOSE MANUEL JAVIER CERVANTES LOPEZ,-98.22876,19.16882,,21.92,19.35
12,10012,BARRAM Y ASOCIADOS SA DE CV,-98.60134,26.22983,21.45,18.65,16.7
13,10013,SUPER-GAS LOS MANGOS SA DE CV,-94.04179,16.21452,22.8,22.7,21.3
14,10014,EL CICLOPE DEL ORIENTE S.A DE C.V.,-98.7769,19.14967,21.35,22.19,20.09
15,10015,"GASOLINERA CARBEL, SA DE CV",-107.354,24.79382,19.99,22.19,19.79
16,10016,JORGE CASAL GONZALEZ,-108.0766,25.44904,,23.59,19.99
17,10017,"GASOLINERA FOY TREBOL, SA DE CV.",-97.52385,20.67023,22.3,22.71,21.31
18,10018,SERVICIO LOS DELFINES SA DE CV,-103.3161,20.67489,20.89,21.99,19.79
19,10019,"SERVICIO CIENEGA GRANDE, S.A. DE C.V.",-102.0066,22.2154,22.34,22.9,21.05
20,10020,E.S.G.E.S. S.A DE C.V,-91.80485,18.64817,,22.59,20.99
21,10021,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-101.3158,20.66233,22.1,22.99,20.89
22,10022,LUZ DEL CARMEN FONTAN HERNANDEZ,-96.16422,19.2108,,20.78,19.26
23,10023,MARIA SOLEDAD CUENCA MERLO,-97.79796,19.42715,21.5,,19.99
24,10024,Auto Servicio Nucar sa de cv ,-100.4,19.85399,21.39,21.99,20.99
25,10025,"GASOLINERA FOS AEROPUERTO, SA DE CV.",-97.49484,20.59171,22.55,22.75,21.25
26,10026,"COMBUSTIBLES Y SERVICIO SANTA MARIA, S.A. DE C.V.",-99.87657,25.73991,19.39,,18.65
27,10027,"SERVICIOS ENERGETICOS EL TORREONSITO, S.A. DE C.V.",-102.9573,25.49046,20.26,,19.59
28,10028,SERVICIOS LOGISTICOS DE ORIENTE SA DE CV,-89.57294,20.94534,21.99,21.99,20.69
29,10029,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.3811,25.7739,21.88,23.38,20.48
30,10030,Servicio Morgusa SA de CV,-98.7189,20.10182,20.65,20.99,18.85
31,10031,VIZA LUAN GASOLINERIA SA DE CV,-99.72063,20.82696,21.15,22.27,20.35
