Year,Country,Titleholder,Age,Hair_Color,Height,Hometown,National Title,Date,Entrants
"1,952", Finland,Armi Kuusela,17,Blonde,1.65,Muhos,Suomen Neito 1952,"June 28, 1952",30
"1,953", France,Christiane Martel,17,Brown,1.68,Créteil,Miss Cinémonde 1953,"July 17, 1953",26
"1,954", United States,Miriam Stevenson,21,Brown,1.76,Winnsboro,Miss USA 1954,"July 24, 1954",33
"1,955", Sweden,Hillevi Rombin,21,Blonde,1.70,Alfta,Miss Sweden 1955,"July 22, 1955",33
"1,956", United States,Carol Morris,20,Black,1.70,Ottumwa,Miss USA 1956,"July 20, 1956",30
"1,957", Peru,Gladys Zender,17,Black,1.70,Lima,Miss Perú 1957,"July 19, 1957",32
"1,958", Colombia,Luz Marina,19,Brown,1.61,Pereira,Virreina Colombia 1957,"July 26, 1958",36
"1,959", Japan,Akiko Kojima,22,Black,1.68,Tokyo,Miss Japan 1959,"July 24, 1959",34
"1,960", United States,Linda Bement,18,Brown,1.68,Salt Lake City,Miss USA 1960,"July 9, 1960",43
"1,961", Germany,Marlene Schmidt,23,Blonde,1.73,Stuttgart,Miss Germany 1961,"July 15, 1961",48
"1,962", Argentina,Norma Nolan,24,Brown,1.66,Venado Tuerto,Miss Argentina 1962,"July 14, 1962",52
"1,963", Brazil,Iêda Maria,18,Black,1.67,Porto Alegre,Miss Brazil 1963,"July 20, 1963",50
"1,964", Greece,Corinna Tsopei,20,Black,1.73,Athens,Star Hellas 1964,"August 1, 1964",60
"1,965", Thailand,Apasra Hongsakula,18,Black,1.64,Bangkok,Miss Thailand 1964,"July 24, 1965",57
"1,966", Sweden,Margareta Arvidsson,18,Blonde,1.73,Gothenburg,Miss Sweden 1966,"July 16, 1966",58
"1,967", United States,Sylvia Hitchcock,21,Brown,1.70,Miami,Miss USA 1967,"July 15, 1967",56
"1,968", Brazil,Martha Vasconcellos,20,Brown,1.72,Salvador,Miss Brazil 1968,"July 13, 1968",65
